symbol,date,label,operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,label_name,company,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_profit,eps,gross_margin,net_margin,cost_of_revenue,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dso,dio,dpo,ccc_detailed,working_capital_to_revenue,year_x,year_y
GM,2017-03-31,1,2041000000.0,-6457000000.0,-4416000000.0,2608000000,41200000000,-3674000000.0,,0.0,,-1.6932515337423313,-10.718446601941748,,183.93519417475727,9.41841103927655,0.0,-3.4480790988678383,38.30253679924836,-49.17828685258963,3.089071825105079,HOLD,,90901000000.0,45972000000.0,230793000000.0,12864000000.0,147000000.0,2745000000.0,6286000000.0,79598000000.0,90904000000.0,14686000000.0,,,,,,4.953883495145631,-1809.3191522833515,-10.718446601941748,15.67233009708738,-4.174711362727461,,,,,-0.2744174757281553,,
GM,2017-06-30,2,5518000000.0,-7613000000.0,-2095000000.0,1660000000,36984000000,-691000000.0,,-1496000000.0,,-1.2620481927710845,-5.664611723988752,,167.54826411421155,-4.121139619768984,0.0,5.053834877952996,-52.5588768115942,170.35766780989712,8.501913976820834,BUY,,89089000000.0,45521000000.0,240300000000.0,16598000000.0,132000000.0,2618000000.0,6060000000.0,85081000000.0,94306000000.0,11289000000.0,,,,,,14.919965390439108,3.1808019460887627,-5.664611723988752,20.58457711442786,4.581084241776107,,,,,-0.2494321868916288,,
GM,2017-09-30,1,2881000000.0,-7092000000.0,-4211000000.0,-2981000000,33623000000,-1696000000.0,,-1498000000.0,,1.4126132170412613,-12.524165006097016,,194.70719447996905,-11.790948426996025,0.0,-6.859553282108264,101.00238663484488,-47.789054005074306,-11.91338816006126,HOLD,,92673000000.0,42243000000.0,229502000000.0,12792000000.0,151000000.0,1916000000.0,5711000000.0,76618000000.0,81849000000.0,11789000000.0,,,,,,8.56853939267763,-44.147990944989424,-12.524165006097016,21.092704398774647,5.017981690076454,,,,,-0.1555780269458406,,
GM,2017-12-31,0,6888000000.0,-6471000000.0,417000000.0,-5151000000,37715000000,3046000000.0,,-1498000000.0,,-0.0809551543389633,1.1056608776348933,,149.22272305448757,8.376028380708803,1.0,13.62982588373191,-109.90263595345525,139.0836515098924,20.489379165840173,SELL,,94219000000.0,35001000000.0,212482000000.0,15512000000.0,145000000.0,2578000000.0,6586000000.0,68744000000.0,76890000000.0,10663000000.0,,,,,,18.263290467983563,99.72290606894974,1.1056608776348933,17.157629590348666,0.7429476831579933,,,,,-0.2159883335542887,,
GM,2018-03-31,1,448000000.0,-6768000000.0,-6320000000.0,1046000000,36099000000,-3503000000.0,,-100000000.0,,-6.042065009560229,-17.507410177567245,,175.40707498822678,-6.7889635756254965,0.0,-18.613071055202138,-1615.587529976019,-93.4959349593496,-32.242896938934045,HOLD,,98818000000.0,34298000000.0,218726000000.0,14256000000.0,150000000.0,529000000.0,4823000000.0,71435000000.0,82716000000.0,11461000000.0,,,,,,1.2410316075237542,-74.9483085595401,-17.507410177567245,18.748441785091,3.0761116880036212,,,,,-0.3125017313498989,,
GM,2018-06-30,1,5105000000.0,-6705000000.0,-1600000000.0,2390000000,36760000000,-973000000.0,,0.0,,-0.6694560669456067,-4.352557127312296,,177.1481229597388,1.3120545966764563,1.0,13.15485305025495,-74.68354430379746,1039.508928571429,31.767924105457087,HOLD,,98259000000.0,36181000000.0,218641000000.0,15087000000.0,159000000.0,1477000000.0,6143000000.0,70451000000.0,80292000000.0,10833000000.0,,,,,,13.887377584330796,-6.9208458537712625,-4.352557127312296,18.23993471164309,-2.3446424027847677,,,,,-0.2677094668117519,,
GM,2018-09-30,1,3673000000.0,-6140000000.0,-2467000000.0,2534000000,35791000000,-782000000.0,,0.0,,-0.973559589581689,-6.89279427789109,,203.91089938811427,5.631370728205926,0.0,-2.540237150578794,54.187500000000014,-28.050930460333017,-15.695090200833745,HOLD,,102340000000.0,38061000000.0,225711000000.0,18435000000.0,161000000.0,1610000000.0,6096000000.0,74848000000.0,84116000000.0,11334000000.0,,,,,,10.262356458327512,19.767862269471003,-6.89279427789109,17.1551507362186,-3.937553662556045,,,,,-0.2589477801681987,,
GM,2018-12-31,2,6030000000.0,-5884000000.0,146000000.0,2044000000,38399000000,3882000000.0,,-90000000.0,,0.0714285714285714,0.3802182348498659,,198.8351259147374,-0.7254426427850273,1.0,7.273012512740956,-105.91811917308472,64.17097740266813,9.81324966331975,BUY,,104951000000.0,38860000000.0,227339000000.0,20844000000.0,68000000.0,829000000.0,5284000000.0,75293000000.0,82237000000.0,9816000000.0,,,,,,15.703533946196517,-14.015856158420226,0.3802182348498659,15.32331571134665,-1.834313879002016,,,,,-0.1808380426573608,,
GM,2019-03-31,1,-81000000.0,-5761000000.0,-5842000000.0,2157000000,34878000000,-5316000000.0,,0.0,,-2.708391284191006,-16.749813636102985,,270.9819943804117,0.7575965414642596,0.0,-17.130031870952852,-4101.369863013699,-101.34328358208955,-24.403044383693807,HOLD,,107084000000.0,40765000000.0,233132000000.0,17176000000.0,181000000.0,1244000000.0,6572000000.0,80090000000.0,85303000000.0,11108000000.0,,,,,,-0.2322380870462755,-118.71330960777568,-16.749813636102985,16.517575549056712,-2.230866236034288,,,,,-0.1494638454039795,,
GM,2019-06-30,1,5076000000.0,-5904000000.0,-828000000.0,2418000000,36060000000,-1041000000.0,,0.0,,-0.3424317617866005,-2.2961730449251245,,273.46658347199116,2.0563840823871713,1.0,14.45364059117786,-85.8267716535433,-6366.666666666666,31.58367246213071,HOLD,,106561000000.0,42816000000.0,233737000000.0,17072000000.0,195000000.0,2487000000.0,6518000000.0,81306000000.0,84294000000.0,11447000000.0,,,,,,14.076539101497504,1.3621111402640995,-2.2961730449251245,16.37271214642263,-1.8672225652204624,,,,,-0.0828618968386023,,
